ID,SMILES,Cluster,UMAP1,UMAP2,UMAP3
112,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)(C)C(O4)=N[C@@H]5[C@H]4CC6=C5C=CC=C6,5,0.30274108,8.9112425,5.77669
113,C(C1(CC1)C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,5,0.4674233,9.985818,5.6194787
114,C(C1(CCC1)C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,5,0.47621936,10.000749,5.6105366
115,C(C1(CCC1)C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,5,0.47989637,10.007464,5.606831
116,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)(CC4=CC=CC=C4)C(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,5,0.29610205,8.848555,5.7840986
117,C(C(CC1=CC=CC=C1)(CC2=CC=CC=C2)C(O3)=N[C@@H]4[C@H]3CC5=C4C=CC=C5)(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.28097004,8.671215,5.825508
118,C(C(CC1=C2C=CC=CC2=CC=C1)(CC3=C4C=CC=CC4=CC=C3)C(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7)(O8)=N[C@@H]9[C@H]8CC%10=C9C=CC=C%10,5,0.2700759,8.639877,5.8395987
119,C(C(CC1=CC=C(C=CC=C2)C2=C1)(CC3=CC=C(C=CC=C4)C4=C3)C(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7)(O8)=N[C@@H]9[C@H]8CC%10=C9C=CC=C%10,5,0.2743092,8.60391,5.8286905
120,CC(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC=C(C)C=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.143553,8.342291,5.800963
121,C(C1(CCCCCC1)C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,5,0.51860726,10.052837,5.568038
122,CCC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)(CC)C(O4)=N[C@@H]5[C@H]4CC6=C5C=CC=C6,5,0.23204611,8.748576,5.870259
123,CC1=CC(C)=CC(C2=CC3=C(C=C2)C[C@@H]4[C@H]3N=C(C(CC5=CC=CC=C5)(CC6=CC=CC=C6)C(O7)=N[C@@H]8[C@H]7CC9=C8C=C(C%10=CC(C)=CC(C)=C%10)C=C9)O4)=C1,5,0.032078553,7.1159225,6.0182486
